Date de la Mort;Gouvernorat;Délégation;Espèce;longitude;Latitude;Etat de Vaccination;Propriété
22/04/2015;Jendouba;Ghardimaou;Asine;8.2497797;36.5028000;Non Vacciné;a propriétaire
18/06/2014;Beja;Testour;Asine;9.1255503;36.4320984;Vacciné;a propriétaire
02/08/2012;Jendouba;Ain Draham;Bovine;8.6877699;36.7745018;Vacciné;a propriétaire
20/04/2013;Jendouba;Ain Draham;Bovine;8.5058403;36.7210007;Non Vacciné;a propriétaire
20/06/2014;Jendouba;Ain Draham;Bovine;8.5980396;36.7605019;Non Vacciné;a propriétaire
07/05/2015;Beja;Amdoun;Bovine;9.1161299;36.8216019;Non Vacciné;a propriétaire
20/08/2013;Beja;Beja Nord;Bovine;9.1646996;36.8208008;Non Vacciné;a propriétaire
31/01/2016;Ariana;Kalaat El Andalous;Bovine;10.1280003;36.8987999;Vacciné;a propriétaire
18/07/2013;Zaghouan;Nadhour;Bovine;9.9148197;36.1041985;Vacciné;a propriétaire
07/08/2013;Zaghouan;Nadhour;Bovine;9.9148197;36.1041985;Vacciné;a propriétaire
09/11/2012;Zaghouan;Nadhour;Bovine;9.9148197;36.1041985;Vacciné;a propriétaire
11/08/2012;Le Kef;Sakiet Sidi Youssef;Bovine;8.3896704;36.2532997;Vacciné;a propriétaire
02/10/2014;Le Kef;Tajerouine;Bovine;8.6296597;35.9730988;Non Vacciné;a propriétaire
13/05/2014;Bizerte;Tinja;Bovine;9.7750397;37.1720009;Non Vacciné;a propriétaire
07/06/2015;Bizerte;Utique;Bovine;10.1143999;37.1151009;Non Vacciné;a propriétaire
09/11/2011;Zaghouan;Bir Mchergua;Canine;10.1424999;36.5112000;Vacciné;a propriétaire
26/04/2012;Zaghouan;Bir Mchergua;Canine;9.9596796;36.5093002;Non Vacciné;Errant
21/06/2014;Bizerte;Bizerte Nord;Canine;9.8474903;37.2835999;Vacciné;a propriétaire
22/08/2015;Bizerte;Bizerte Nord;Canine;9.8656998;37.2676010;Non Vacciné;a propriétaire
12/10/2012;Le Kef;Dahmani;Canine;8.7398901;36.0205002;Vacciné;a propriétaire
13/03/2012;Jendouba;Jendouba Sud;Canine;8.5519104;36.5738983;Vacciné;a propriétaire
06/09/2013;Bizerte;Joumine;Canine;9.3031397;36.9071999;Vacciné;a propriétaire
21/01/2016;Bizerte;Joumine;Canine;9.5054703;36.8986015;Vacciné;a propriétaire
20/02/2014;Bizerte;Joumine;Canine;9.2519102;36.9813004;Vacciné;a propriétaire
21/06/2012;Tunis;La Goulette;Canine;10.3100004;36.8294983;Vacciné;a propriétaire
13/07/2013;Tunis;La Marsa;Canine;10.3116999;36.8931007;Non Vacciné;Errant
07/11/2016;Tunis;La Marsa;Canine;10.3129997;36.8883018;Vacciné;a propriétaire
04/02/2015;Tunis;Beb Bhar;Canine;10.1781998;36.8027000;Vacciné;a propriétaire
18/08/2014;Ben Arous;Mornag;Canine;10.3221998;36.6067009;Vacciné;a propriétaire
20/11/2013;Ben Arous;Mornag;Canine;10.2679996;36.5997009;Non Vacciné;Errant
12/05/2013;Ben Arous;Mornag;Canine;10.3390999;36.6637001;Non Vacciné;errant
22/03/2014;Ben Arous;Mornag;Canine;10.2601995;36.6688995;Non Vacciné;a propriétaire
16/02/2014;Jendouba;Oued Meliz;Canine;8.5616598;36.4488983;Non Vacciné;a propriétaire
06/12/2012;Jendouba;Oued Mliz;Canine;8.5152998;36.4378014;Non Vacciné;a propriétaire
20/11/2011;Jendouba;Oued Mliz;Canine;8.5201902;36.5246010;Vacciné;a propriétaire
09/08/2012;Jendouba;Oued Mliz;Canine;8.5201902;36.5246010;Vacciné;a propriétaire
23/04/2016;Ben Arous;Rades;Canine;10.2658005;36.7523994;Vacciné;a propriétaire
05/12/2012;Tunis;Sidi Hassine;Canine;10.0964003;36.7159004;Vacciné;a propriétaire
08/11/2012;Tunis;Sidi Hassine;Canine;10.1134996;36.7627983;Vacciné;a propriétaire
16/11/2012;Tunis;Sidi Hassine;Canine;10.1293001;36.7248001;Non Vacciné;a propriétaire
15/06/2016;Nabeul;Soliman;Canine;10.5748997;36.7747002;Non Vacciné;a propriétaire
28/08/2016;Ariana;Soukra;Canine;10.2166996;36.8950996;Vacciné;a propriétaire
06/11/2016;Ariana;Soukra;Canine;10.2623997;36.8754005;Vacciné;a propriétaire
03/05/2016;Le Kef;Tajerouine;Canine;8.4866505;35.8577003;Vacciné;a propriétaire
08/01/2016;Le Kef;Tajerouine;Canine;8.4866505;35.8577003;Non Vacciné;a propriétaire
21/07/2014;Nabeul;Takelsa;Canine;10.6995001;36.7895012;Non Vacciné;a propriétaire
25/11/2014;Beja;Teboursouk;Canine;9.3093700;36.4809990;Non Vacciné;a propriétaire
16/08/2013;Beja;Teboursouk;Canine;9.2455397;36.3950996;Non Vacciné;Errant
26/05/2014;Beja;Teboursouk;Canine;9.2515097;36.5234985;Non Vacciné;Errant
14/10/2013;Beja;Teboursouk;Canine;9.1255503;36.4320984;Non Vacciné;Errant
24/05/2012;Zaghouan;Zriba;Canine;10.2298002;36.3633995;Non Vacciné;Errant
30/05/2014;Zaghouan;Zriba;Canine;10.2026997;36.3179016;Non Vacciné;Errant
02/07/2012;Le Kef;Dahmani;Caprine;8.8389502;35.9407005;Non Vacciné;a propriétaire
13/04/2012;Le Kef;Jerissa;Caprine;8.6437902;35.8469009;Non Vacciné;a propriétaire
05/09/2012;Zaghouan;Nadhour;Caprine;10.0900002;36.1198006;Non Vacciné;a propriétaire
19/04/2011;Le Kef;Dahmani;Equine;8.7398901;36.0205002;Non Vacciné;a propriétaire
22/08/2013;Le Kef;Dahmani;Equine;8.9131899;35.9762001;Non Vacciné;a propriétaire
28/09/2014;Jendouba;Jendouba Nord;Equine;8.7745600;36.5521011;Non Vacciné;a propriétaire
29/09/2012;Ben Arous;M'Hamdia;Equine;10.1021996;36.6414986;Non Vacciné;a propriétaire
11/06/2014;Tunis;Bab_Souika;Equine;10.1690998;36.8116989;Non Vacciné;a propriétaire
21/01/2014;Mannouba;Tebourba;Equine;9.8624697;36.8228989;Non Vacciné;a propriétaire
05/07/2016;Ariana;Ariana Medina;Féline;10.1833000;36.8544998;Non Vacciné;
05/10/2016;Ariana;Ariana Medina;Féline;10.1527004;36.8652992;Non Vacciné;a propriétaire
21/10/2014;Tunis;Ariana Medina;Féline;10.1739998;36.8479996;Non Vacciné;a propriétaire
14/10/2016;Ben Arous;Hammam Chott;Féline;10.3660002;36.7170982;Non Vacciné;a propriétaire
12/12/2015;Bizerte;Menzel Bourguiba;Féline;9.8113604;37.1469994;Non Vacciné;a propriétaire
04/04/2016;Nabeul;Menzel Bouzelfa;Féline;10.6276999;36.6944008;Non Vacciné;errant
12/12/2012;Ben Arous;M'Hamdia;Féline;10.1861000;36.6745987;Non Vacciné;errant
09/09/2012;Ben Arous;M'Hamdia;Féline;10.1477003;36.6749992;Non Vacciné;errant
11/11/2013;Ariana;Raoued;Féline;10.1948004;36.8922005;Vacciné;a propriétaire
11/12/2016;Ariana;Raoued;Féline;10.1661997;36.9415016;Vacciné;a propriétaire
13/08/2015;Ariana;Soukra;Féline;10.2166999;36.8950999;Vacciné;a propriétaire
08/05/2016;Bizerte;Tinja;Féline;9.7750397;37.1720009;Vacciné;a propriétaire
10/07/2014;Zaghouan;Bir Mchergua;Ovine;10.0003004;36.4418983;Non Vacciné;errant
23/10/2014;Bizerte;Bizerte Nord;Ovine;9.8777704;37.2784004;Non Vacciné;errant
02/08/2014;Bizerte;Bizerte Sud;Ovine;9.8430300;37.2678986;Non Vacciné;a propriétaire
21/02/2016;Nabeul;Bou Argoub;Ovine;10.5295000;36.5293007;Non Vacciné;a propriétaire
30/04/2015;Nabeul;Dar Chaabane El Fehri;Ovine;10.7206001;36.5125008;Non Vacciné;a propriétaire
06/08/2014;Le Kef;Ksour;Ovine;9.0096102;35.9147987;Non Vacciné;a propriétaire
06/04/2016;Nabeul;Menzel Bouzelfa;Ovine;10.7224998;36.6948013;Non Vacciné;a propriétaire
19/11/2015;Nabeul;Menzel Temime;Ovine;10.8886995;36.8180008;Non Vacciné;a propriétaire
10/06/2014;Ben Arous;M'Hamdia;Ovine;10.1511002;36.6907005;Non Vacciné;a propriétaire
06/05/2013;Ben Arous;M'Hamdia;Ovine;10.1583004;36.6540985;Non Vacciné;a propriétaire
19/11/2012;Ben Arous;M'Hamdia;Ovine;10.1021996;36.6414986;Non Vacciné;a propriétaire
23/11/2012;Ben Arous;M'Hamdia;Ovine;10.1021996;36.6414986;Non Vacciné;a propriétaire
07/07/2014;Zaghouan;Nadhour;Ovine;10.0029001;36.0648994;Non Vacciné;a propriétaire
10/10/2013;Ariana;Sidi Thabet;Ovine;10.0580997;36.9051018;Non Vacciné;a propriétaire
19/09/2013;Nabeul;Soliman;Ovine;10.5220003;36.6671982;Non Vacciné;a propriétaire
10/11/2016;Nabeul;Soliman;Ovine;10.5220003;36.6671982;Non Vacciné;a propriétaire
22/04/2016;Ariana;Soukra;Ovine;10.2112999;36.8611984;Non Vacciné;a propriétaire
20/11/2015;Nabeul;Takelsa;Ovine;10.6131001;36.7905998;Non Vacciné;a propriétaire
01/11/2016;Nabeul;El Mida;renard;10.7777996;36.7621994;Non Vacciné;Sauvage
17/11/2012;Ben Arous;M'Hamdia;renard;10.1021996;36.6414986;Non Vacciné;Sauvage
